Name,Link,From,To,Position,Height,Weight,Birth Date,College
1991,N/A,1995,F-C,6-10,240,"June 24, 1968",Duke,N/A
1969,N/A,1978,C-F,6-9,235,"April 7, 1946",Iowa State,N/A
1970,N/A,1989,C,7-2,225,"April 16, 1947",UCLA,N/A
1991,N/A,2001,G,6-1,162,"March 9, 1969",LSU,N/A
1998,N/A,2003,F,6-6,223,"November 3, 1974","Michigan, San Jose State",N/A
1997,N/A,2008,F,6-9,225,"December 11, 1976",California,N/A
1977,N/A,1981,F,6-7,220,"May 6, 1954",Indiana,N/A
1957,N/A,1957,G,6-3,180,"July 27, 1932",Western Kentucky,N/A
1947,N/A,1948,F,6-3,195,"February 9, 1919",Salem University,N/A
2017,N/A,2019,G-F,6-6,200,"August 1, 1993",,N/A
2021,N/A,2025,F,6-8,225,"September 19, 1999",Memphis,N/A
2006,N/A,2009,G,6-5,185,"January 21, 1983",Pepperdine,N/A
1954,N/A,1954,G,6-0,183,"September 4, 1930",Long Island University,N/A
1988,N/A,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts,N/A
1968,N/A,1968,F,6-6,210,"January 11, 1942",Hillsdale College,N/A
2013,N/A,2019,F-C,6-7,240,"October 6, 1990",Baylor,N/A
1976,N/A,1988,C-F,6-9,210,"July 19, 1954",Oklahoma,N/A
1971,N/A,1977,F,6-6,210,"November 27, 1947",Northwestern,N/A
1973,N/A,1975,F-G,6-5,210,"May 15, 1949",Gardner-Webb University,N/A
2007,N/A,2009,G,6-4,220,"June 20, 1984",Arizona,N/A
2019,N/A,2021,G,6-0,225,"May 4, 1996",St. Bonaventure,N/A
2015,N/A,2016,G,6-5,209,"July 8, 1994",UCLA,N/A
1986,N/A,1996,G,5-10,162,"January 19, 1963",Boston College,N/A
2014,N/A,2025,C,6-11,265,"July 20, 1993",Pitt,N/A
1987,N/A,1997,F-G,6-7,215,"July 22, 1964",Syracuse,N/A
2018,N/A,2025,C-F,6-9,255,"July 18, 1997",Kentucky,N/A
2019,N/A,2019,F,6-7,200,"February 1, 1997",Louisville,N/A
1969,N/A,1975,G,6-1,175,"June 16, 1946",Loyola Marymount,N/A
2011,N/A,2015,F,6-7,245,"February 10, 1986",UConn,N/A
2008,N/A,2018,G-F,6-5,210,"October 15, 1985",UCLA,N/A
2023,N/A,2025,G,6-5,215,"April 20, 2000",Kansas,N/A
2007,N/A,2011,G,6-5,202,"February 9, 1984",Michigan State,N/A
1982,N/A,1994,F-G,6-6,232,"December 10, 1959",DePaul,N/A
2008,N/A,2012,G,6-2,190,"May 27, 1984",Missouri State,N/A
1982,N/A,1995,G,6-5,185,"March 17, 1959",BYU,N/A
1968,N/A,1968,F,6-7,230,"September 21, 1944","Moberly Area Community College, Michigan State",N/A
2009,N/A,2017,C-F,7-2,248,"May 6, 1988",,N/A
1967,N/A,1969,C-F,6-10,225,"July 31, 1944",Morehead State University,N/A
2013,N/A,2013,G,5-11,185,"February 10, 1986","Washington State, Cal State Fullerton",N/A
2019,N/A,2019,G,6-6,200,"June 5, 1993",Illinois State,N/A
2011,N/A,2012,C,7-1,251,"March 21, 1988",Florida State,N/A
1987,N/A,1991,F,6-8,217,"December 11, 1963",Duke,N/A
1960,N/A,1961,C,6-9,225,"October 8, 1936",Fresno State,N/A
2022,N/A,2025,F,6-11,224,"January 10, 2001",Loyola (MD),N/A
2015,N/A,2015,F-C,6-10,240,"August 9, 1991",,N/A
2011,N/A,2018,C,6-11,250,"October 31, 1988",Kansas,N/A
2007,N/A,2022,F-C,6-11,250,"July 19, 1985",Texas,N/A
1985,N/A,1985,C,6-11,260,"February 26, 1959","Kentucky, UConn",N/A
2016,N/A,2016,F,6-8,245,"November 16, 1995",Kansas,N/A
1996,N/A,2005,G,6-1,185,"June 22, 1973",Virginia,N/A
2001,N/A,2003,G,6-5,205,"April 27, 1977","Virginia, Fresno State",N/A
1994,N/A,1994,F,6-7,240,"November 1, 1969",South Florida,N/A
2009,N/A,2010,F,6-8,230,"December 26, 1986",West Virginia,N/A
2020,N/A,2020,F,6-11,220,"October 21, 1996",Tennessee,N/A
2025,N/A,2025,G,6-4,185,"May 2, 2003",Creighton,N/A
2021,N/A,2021,G,6-3,195,"July 16, 1998",Creighton,N/A
1992,N/A,2002,C-F,6-9,265,"August 31, 1969",Iowa State,N/A
2020,N/A,2025,G,6-5,205,"September 2, 1998",Virginia Tech,N/A
1988,N/A,1991,G,6-2,183,"November 23, 1964",Indiana,N/A
2019,N/A,2019,G,6-5,225,"October 29, 1997",Arizona,N/A
1968,N/A,1968,C-F,6-8,205,,New Mexico State,N/A
1969,N/A,1969,F,6-9,205,"July 17, 1946",Marshall,N/A
2019,N/A,2025,G,6-4,198,"October 8, 1995",Duke,N/A
2018,N/A,2025,C-F,6-11,243,"April 21, 1998",Texas,N/A
1996,N/A,1997,G,6-4,184,"January 28, 1973",Penn,N/A
2018,N/A,2020,G,6-1,200,"January 15, 1993",Arizona,N/A
2012,N/A,2017,F-C,6-9,260,"February 4, 1989",Temple,N/A
1970,N/A,1979,G,6-2,175,"September 26, 1947",UCLA,N/A
2002,N/A,2011,F-C,6-10,255,"June 27, 1978",Villanova,N/A
1989,N/A,1990,F,6-8,220,"January 26, 1965",Florida State,N/A
1997,N/A,2014,G,6-5,205,"July 20, 1975",UConn,N/A
2024,N/A,2024,F,6-6,210,"January 9, 2000","Utah, Texas",N/A
2005,N/A,2018,G-F,6-4,213,"January 11, 1982","Butler County Community College, Oklahoma State",N/A
1972,N/A,1972,F,6-6,230,"February 8, 1949",Miami (FL),N/A
1972,N/A,1972,F,6-6,195,"October 2, 1949",UNLV,N/A
2008,N/A,2008,C,6-11,250,"February 2, 1981","Utah, Weber State",N/A
1981,N/A,1981,F,6-9,220,"September 12, 1958",UCLA,N/A
2008,N/A,2012,G,6-6,225,"February 2, 1985",Rice University,N/A
1995,N/A,1997,F,6-11,225,"August 20, 1972",Duquesne,N/A
2000,N/A,2010,G,6-2,171,"July 24, 1976",Fresno State,N/A
1999,N/A,1999,C,6-10,260,"April 23, 1973",Liberty,N/A
2022,N/A,2025,G,6-0,179,"April 12, 1998",Georgia Tech,N/A
1996,N/A,2003,C-F,6-10,270,"November 26, 1970","Vanderbilt, Penn State",N/A
1996,N/A,1997,F,6-8,230,"November 23, 1971",Southern Illinois,N/A
2011,N/A,2021,F,6-8,220,"September 21, 1990",Wake Forest,N/A
2007,N/A,2016,F-C,6-9,220,"December 7, 1982",UNLV,N/A
1960,N/A,1960,F-G,6-3,200,"August 24, 1937",Michigan State,N/A
2002,N/A,2017,C-F,6-10,245,"July 7, 1978",Blinn College,N/A
2010,N/A,2011,C,6-11,245,"June 23, 1980",,N/A
2006,N/A,2017,G-F,6-6,220,"October 16, 1982",Michigan State,N/A
1968,N/A,1970,G,6-2,184,"July 6, 1945",Canisius,N/A
2010,N/A,2010,G,6-6,215,"June 5, 1985",Memphis,N/A
1968,N/A,1971,G-F,6-2,200,"September 7, 1944",Saint Joseph's,N/A
1968,N/A,1969,C,6-10,230,"February 15, 1943",Augsburg College,N/A
1975,N/A,1976,G,6-2,185,"January 1, 1951",USC,N/A
1998,N/A,2008,G,6-5,194,"July 18, 1974","Ohio State, Kentucky",N/A
1983,N/A,1983,G,6-3,185,"December 28, 1960","Kentucky, USC",N/A
1993,N/A,1994,F,6-9,220,"May 26, 1970",Indiana,N/A
1988,N/A,1998,F-C,6-10,230,"June 22, 1964",Houston,N/A
1983,N/A,1985,F,6-8,195,"September 23, 1960",Bradley,N/A
2011,N/A,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State,N/A
1976,N/A,1977,G,6-5,195,"October 9, 1953",West Virginia,N/A
2016,N/A,2022,G,6-6,230,"November 19, 1993",Virginia,N/A
1992,N/A,2005,G,6-1,168,"October 9, 1970",Georgia Tech,N/A
1979,N/A,1979,F,6-7,200,"May 12, 1955",Missouri,N/A
2015,N/A,2025,F-G,6-9,230,"September 20, 1993",UCLA,N/A
1989,N/A,1989,G,5-11,184,"March 23, 1966",Drexel,N/A
1990,N/A,2002,F-G,6-6,205,"January 20, 1968",Illinois,N/A
1983,N/A,1990,F-C,6-10,240,"November 19, 1960",UC Santa Barbara,N/A
1985,N/A,1994,F-G,6-7,215,"October 15, 1958",Fresno State,N/A
2009,N/A,2020,F,6-9,240,"May 6, 1988",California,N/A
1997,N/A,2006,F-G,6-6,208,"December 31, 1973",Georgia,N/A
1989,N/A,1997,G-F,6-7,190,"January 8, 1967",Georgia,N/A
1970,N/A,1970,C-F,6-7,220,"January 11, 1946",Creighton,N/A
2006,N/A,2006,C,7-2,240,"March 12, 1986",,N/A
1955,N/A,1955,F,6-7,190,"November 1, 1930",Missouri State,N/A
2018,N/A,2019,F-C,6-10,250,"October 17, 1998",UCLA,N/A
1990,N/A,1992,F,6-7,225,"February 8, 1967",Alabama,N/A
1998,N/A,2000,C,7-0,249,"January 1, 1975",,N/A
2014,N/A,2025,F-G,6-11,242,"December 6, 1994",,N/A
2019,N/A,2021,F,6-10,200,"November 20, 1997",Dayton,N/A
2016,N/A,2024,F,6-7,219,"July 18, 1992",,N/A
2004,N/A,2022,F,6-7,238,"May 29, 1984",Syracuse,N/A
2021,N/A,2025,G,6-2,185,"May 15, 2000",UNC,N/A
1992,N/A,2002,G,6-0,176,"November 15, 1967","University of Portland, UNLV",N/A
2008,N/A,2017,C,6-9,245,"August 9, 1982",UNLV,N/A
2014,N/A,2015,C-F,6-11,260,"July 29, 1982",,N/A
2018,N/A,2025,F,6-7,232,"July 17, 1997",Indiana,N/A
2016,N/A,2016,G,6-1,185,"February 13, 1992",Michigan State,N/A
2005,N/A,2007,C,6-11,280,"August 12, 1980",BYU,N/A
1962,N/A,1962,F,6-4,210,"February 17, 1936",Iowa State,N/A
2003,N/A,2004,F,6-11,250,"March 29, 1980",Illinois,N/A
1971,N/A,1984,G,6-1,150,"September 2, 1948","Arizona Western College, Texas-El Paso",N/A
2018,N/A,2024,G,6-3,195,"March 26, 1994",Villanova,N/A
