Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Allen Iverson,32,DEN,SG,82,82,3424,20.9,0.567,0.177,0.512,1.5,6.1,3.8,27.4,2.2,0.2,11.4,26.7,8.9,2.8,11.6,0.163,3.4,-0.7,2.7,4,AS,iversal01
2,Joe Johnson,26,ATL,SG,82,82,3343,17.3,0.535,0.297,0.253,2.9,9.9,6.4,25.5,1.3,0.4,11.8,25.6,5.3,1.7,7,0.1,2.7,-1.5,1.2,2.7,AS,johnsjo02
3,Andre Iguodala,24,PHI,SF,82,82,3242,19,0.543,0.24,0.396,3.1,13.4,8.2,20.3,2.8,1.2,12.5,23.8,5.3,4.4,9.6,0.143,2.5,1.5,4,4.9,,iguodan01
4,Richard Jefferson,27,NJN,SF,82,82,3200,17.4,0.571,0.16,0.511,3.4,9,6.2,15,1.2,0.5,10.9,26.1,6.1,1.5,7.6,0.114,1.6,-1.3,0.3,1.8,,jefferi01
5,Baron Davis,28,GSW,PG,82,82,3196,19.8,0.523,0.344,0.278,3.1,10.1,6.4,29.7,2.9,1,11.9,25.6,5.9,2.8,8.7,0.131,3.2,0.3,3.6,4.5,,davisba01
6,Kobe Bryant,29,LAL,SG,82,82,3192,24.2,0.576,0.246,0.439,3.4,14.1,9,23.9,2.4,0.9,11.3,31.4,9.5,4.3,13.8,0.208,5.2,0.6,5.8,6.3,MVP-1DPOY-5ASNBA1,bryanko01
7,Jamal Crawford,27,NYK,SG,80,80,3190,16,0.528,0.355,0.274,1.3,6.3,3.7,22,1.3,0.4,11,24.6,4.6,0.4,5,0.076,2.1,-1.8,0.3,1.9,,crawfja01
8,Jason Richardson,27,CHA,SF,82,82,3149,18.4,0.554,0.408,0.225,2.9,13.3,8,15.2,1.9,1.4,9.3,25.9,4.8,2.6,7.4,0.113,3.3,-0.3,3,4,,richaja01
9,Dwight Howard,22,ORL,C,82,82,3088,22.9,0.619,0.004,0.921,10.9,31.6,21.7,6.1,1.2,4.2,16.1,24.2,6.4,6.4,12.9,0.2,1.6,1.2,2.8,3.7,MVP-5DPOY-7ASNBA1,howardw01
10,Rashard Lewis,28,ORL,PF,81,81,3076,16.7,0.591,0.487,0.229,3.8,12.2,8.2,10.5,1.7,0.9,10.1,20.7,6.1,3.7,9.8,0.153,2.7,0.4,3.1,4,,lewisra02
11,Monta Ellis,22,GSW,SG,81,72,3071,19,0.58,0.042,0.34,4.5,9.8,7,15.8,2,0.6,10.9,21.7,7.1,1.8,9,0.14,1.8,-0.3,1.6,2.8,,ellismo01
12,Antawn Jamison,31,WAS,PF,79,79,3061,20.3,0.525,0.25,0.309,8,23.3,15.4,7.2,1.9,0.9,6.6,25.9,6,3.2,9.2,0.144,3.1,-1.3,1.7,2.9,MVP-14AS,jamisan01
13,Deron Williams,23,UTA,PG,82,82,3059,20.8,0.595,0.188,0.368,1.4,8.3,4.9,43.6,1.5,0.6,17.7,23.1,8.9,2.3,11.3,0.177,4.9,-1.1,3.8,4.5,MVP-12NBA2,willide01
14,LeBron James,23,CLE,SF,75,74,3027,29.1,0.568,0.219,0.47,4.9,17.8,11.1,37.3,2.4,2.1,11.4,33.5,10.7,4.6,15.2,0.242,8.2,2.6,10.9,9.8,MVP-4ASNBA1,jamesle01
15,Hedo Türkoğlu,28,ORL,SF,82,82,3026,17.8,0.576,0.34,0.321,3.3,14.2,9,22.9,1.3,0.6,15,24.8,5.6,3.5,9,0.143,2.6,0.1,2.7,3.6,MIP-1,turkohe01
16,Andre Miller,31,PHI,PG,82,82,3016,18.4,0.537,0.029,0.288,3.7,9.1,6.4,32,1.8,0.2,13.7,22.6,5.7,2.6,8.3,0.131,2.1,-0.3,1.8,2.9,,millean02
17,Chris Paul,22,NOH,PG,80,80,3006,28.3,0.576,0.193,0.302,2.4,10.3,6.2,52.2,3.9,0.1,12.1,25.7,13.2,4.6,17.8,0.284,7.2,3.2,10.4,9.3,MVP-2DPOY-7ASNBA1,paulch01
18,Rudy Gay,21,MEM,SF,81,81,3000,17.4,0.546,0.286,0.233,5.2,13.5,9.3,9.3,1.9,1.9,11.3,25,2.9,2.1,5,0.08,1.5,-0.6,0.8,2.1,,gayru01
19,Raymond Felton,23,CHA,PG,79,79,2972,13.8,0.5,0.201,0.326,1.4,7.7,4.6,32.4,1.7,0.3,15.7,20.8,2,1.4,3.4,0.054,-0.6,-1.5,-2.1,-0.1,,feltora01
20,Ricky Davis,28,MIA,SF,82,47,2963,12,0.534,0.343,0.203,2.2,12.2,7.1,16.4,1.6,0.4,15.3,20,0.3,1.6,1.9,0.03,-1,-1,-2,0,,davisri01
