Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP▼,Awards,Player-additional
1,Stephen Curry,27,GSW,PG,79,79,2700,31.5,0.669,0.554,0.25,2.9,13.6,8.6,33.7,3,0.4,12.9,32.6,13.8,4.1,17.9,0.318,10.3,1.6,11.9,9.5,MVP-1ASNBA1,curryst01
2,Kevin Durant,27,OKC,SF,72,72,2578,28.2,0.634,0.348,0.361,2,21.8,12.4,24.2,1.3,2.5,13.5,30.6,11,3.5,14.5,0.27,8.4,1.6,9.9,7.8,MVP-5ASNBA2,duranke01
3,LeBron James,31,CLE,SF,76,76,2709,27.5,0.588,0.199,0.347,4.7,18.8,11.8,36,2,1.5,13.2,31.4,9.6,4,13.6,0.242,7,2,9,7.5,MVP-3DPOY-11ASNBA1,jamesle01
4,Russell Westbrook,27,OKC,PG,80,80,2750,27.6,0.554,0.236,0.397,6.1,18.1,12.4,49.6,2.9,0.6,16.8,31.6,10,4,14,0.245,6.4,1.4,7.8,6.8,MVP-4ASNBA1,westbru01
5,James Harden,26,HOU,SG,82,82,3125,25.3,0.598,0.406,0.518,2.2,15.6,8.8,35.4,2.2,1.4,15.9,32.5,10.7,2.6,13.3,0.204,6.4,0.2,6.6,6.8,MVP-9AS,hardeja01
6,Kawhi Leonard,24,SAS,SF,72,72,2380,26,0.616,0.267,0.306,4.7,18.4,11.8,13,2.8,2.3,7.8,25.8,8.3,5.5,13.7,0.277,6.1,3,9.1,6.7,MVP-2DPOY-1ASNBA1,leonaka01
7,Chris Paul,30,LAC,PG,74,74,2420,26.2,0.575,0.295,0.294,1.8,12,7,52.7,3.1,0.4,13.4,27.1,9.2,3.5,12.7,0.253,5.9,2,7.9,6,MVP-6DPOY-13ASNBA2,paulch01
8,Kyle Lowry,29,TOR,PG,77,77,2851,22.2,0.578,0.457,0.41,2.2,12.3,7.3,29.9,2.9,1,13.7,26.1,8,3.7,11.6,0.196,4.7,1.1,5.8,5.7,MVP-10DPOY-13ASNBA3,lowryky01
9,Draymond Green,25,GSW,PF,81,81,2808,19.3,0.587,0.315,0.402,5.5,23,14.7,29,2,3,21.2,18.8,6,5.1,11.1,0.19,2.6,2.9,5.5,5.3,MVP-7DPOY-2ASNBA2,greendr01
10,Paul George,25,IND,SF,81,81,2819,20.9,0.557,0.391,0.364,3.1,18.7,10.9,20.3,2.7,0.8,13.6,30.4,4.4,4.8,9.2,0.157,3.7,1.2,4.9,4.9,ASNBA3,georgpa01
11,Damian Lillard,25,POR,PG,75,75,2676,22.2,0.56,0.414,0.315,1.8,10.4,6.1,33.6,1.2,0.8,12.6,31.3,7.7,1.4,9.2,0.165,5.7,-1.3,4.4,4.3,MVP-8NBA2,lillada01
12,Kemba Walker,25,CHO,PG,81,81,2885,20.8,0.554,0.368,0.329,2.1,11.5,6.8,25.7,2.2,1.1,10.1,26.5,6.3,3.6,9.9,0.165,3.5,0.5,4,4.3,,walkeke02
13,Isaiah Thomas,26,BOS,PG,82,79,2644,21.5,0.562,0.336,0.394,1.8,8,4.9,32.7,1.7,0.3,11.9,29.6,7.2,2.5,9.7,0.177,4.9,-0.6,4.3,4.2,AS,thomais02
14,Paul Millsap,30,ATL,PF,81,81,2647,21.3,0.556,0.218,0.383,8.4,21.5,15.1,16.4,2.7,4.1,13.3,24.3,4.1,6,10.1,0.183,1.5,2.7,4.2,4.1,DPOY-5AS,millspa01
15,Pau Gasol,35,CHI,C,72,72,2291,21.7,0.529,0.069,0.29,7.3,28.7,18.2,21.7,0.9,4.7,12.8,24.6,3.2,3.9,7.1,0.149,2.7,2.3,4.9,4,AS,gasolpa01
16,Jimmy Butler,26,CHI,SG,67,67,2474,21.3,0.562,0.198,0.459,3.4,11.6,7.6,21.4,2.2,1.3,9.6,24.4,6.5,2.7,9.1,0.177,3.2,1.2,4.4,3.9,DPOY-11AS,butleji01
17,John Wall,25,WAS,PG,77,77,2784,19.8,0.51,0.243,0.255,1.7,13.8,7.6,46.2,2.5,1.7,17.5,28.6,2.2,3.5,5.7,0.098,3.1,0.4,3.5,3.9,AS,walljo01
18,Al Horford,29,ATL,C,82,82,2631,19.4,0.565,0.244,0.123,6.3,18.2,12.4,16.7,1.3,3.6,8.8,20.6,4.9,4.5,9.4,0.172,2.2,1.6,3.8,3.9,DPOY-13AS,horfoal01
19,Carmelo Anthony,31,NYK,SF,72,72,2530,20.3,0.53,0.237,0.308,4.3,19.5,12,21.9,1.3,1.1,10.6,29.7,3.9,2.5,6.4,0.121,3.8,-0.5,3.3,3.4,AS,anthoca01
20,Gordon Hayward,25,UTA,SF,80,80,2893,18.3,0.559,0.341,0.397,2.5,13.5,8,18.2,1.7,0.8,12.5,25.7,5.5,3.4,8.9,0.147,2.4,0.2,2.6,3.3,,haywago01
