Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2012-13,19,NOH,NBA,PF,64,60,1846,349,676,0.516,0,6,0,349,670,0.521,0.516,169,225,0.751,165,357,522,63,75,112,89,158,867,0,ROY-2
2013-14,20,NOP,NBA,PF,67,66,2358,522,1005,0.519,2,9,0.222,520,996,0.522,0.52,348,440,0.791,207,466,673,105,89,189,109,200,1394,0,DPOY-8AS
2014-15,21,NOP,NBA,PF,68,68,2455,642,1199,0.535,1,12,0.083,641,1187,0.54,0.536,371,461,0.805,173,523,696,149,100,200,95,141,1656,0,MVP-5DPOY-4ASNBA1
2015-16,22,NOP,NBA,C,61,61,2164,560,1136,0.493,35,108,0.324,525,1028,0.511,0.508,326,430,0.758,130,497,627,116,78,125,121,148,1481,0,DPOY-9AS
2016-17,23,NOP,NBA,C,75,75,2708,770,1526,0.505,40,134,0.299,730,1392,0.524,0.518,519,647,0.802,172,712,884,157,94,167,181,168,2099,0,MVP-9ASNBA1
2017-18,24,NOP,NBA,PF,75,75,2727,780,1462,0.534,55,162,0.34,725,1300,0.558,0.552,495,598,0.828,187,645,832,174,115,193,162,159,2110,1,MVP-3DPOY-3ASNBA1
2018-19,25,NOP,NBA,C,56,56,1850,530,1026,0.517,48,145,0.331,482,881,0.547,0.54,344,433,0.794,174,498,672,218,88,135,112,132,1452,0,AS
2019-20,26,LAL,NBA,PF,62,62,2131,551,1096,0.503,72,218,0.33,479,878,0.546,0.536,444,525,0.846,142,435,577,200,91,143,154,156,1618,0,MVP-6DPOY-2ASNBA1
2020-21,27,LAL,NBA,PF,36,36,1162,301,613,0.491,26,100,0.26,275,513,0.536,0.512,158,214,0.738,62,224,286,110,45,59,74,60,786,0,AS
2021-22,28,LAL,NBA,C,40,40,1404,370,695,0.532,13,70,0.186,357,625,0.571,0.542,174,244,0.713,106,288,394,122,49,90,82,97,927,0,
2022-23,29,LAL,NBA,C,56,54,1904,542,962,0.563,19,74,0.257,523,888,0.589,0.573,348,444,0.784,195,507,702,148,59,114,122,146,1451,0,
2023-24,30,LAL,NBA,C,76,76,2700,713,1283,0.556,29,107,0.271,684,1176,0.582,0.567,421,516,0.816,239,722,961,266,91,178,159,177,1876,2,DPOY-4ASNBA2
2024-25,31,LAL,NBA,C,42,42,1440,400,758,0.528,28,94,0.298,372,664,0.56,0.546,253,321,0.788,119,380,499,141,54,90,93,82,1081,0,
13 Yrs,13 Yrs,13 Yrs,13 Yrs,,778,771,26849,7030,13437,0.523,368,1239,0.297,6662,12198,0.546,0.537,4370,5498,0.795,2071,6254,8325,1969,1028,1795,1553,1824,18798,3,
