Teams,Players Traded,Draft Picks
"Phoenix Suns, Los Angeles, Chicago Bulls, Miami Heat, Portland Trail, Washington Wizards, Charlotte Hornets, San Antonio, New Orleans, New York, Milwaukee Bucks, Brooklyn Nets, Dallas Mavericks, Orlando Magic, Sacramento Kings, Philadelphia 76ers, Golden State, Oklahoma City, Minnesota Timberwolves, Utah Jazz, Denver Nuggets, Detroit Pistons, Cleveland Cavaliers, Indiana Pacers, Boston Celtics, Memphis Grizzlies, Houston Rockets, Atlanta Hawks, Toronto Raptors","Chris Duarte, Max Strus, cash, Davis Bertans and Cason Wallace, John Collins, Alpha Kaba, Kenyon Martin, Josh Christopher, Vanja Marinkovic, Dillon Brooks, cash, cash, Grant Williams, Grayson Allen, Deandre Ayton and Toumani Camara, Damian Lillard, Filip Petrusev and cash, cash, Terry Rozier, Spencer Dinwiddie, Bojan Bogdanovic and Alec Burks, Buddy Hield, Doug McDermott, Vanja Marinkovic, David Roddy, Monte Morris, Dalano Banton and cash, Robin Lopez and cash, Ismael Kamagate, Gordon Hayward, Alex Caruso",None
Indiana Pacers,Chris Duarte,None
Detroit Pistons,,None
,Max Strus,None
Dallas Mavericks,cash,None
Dallas Mavericks,Davis Bertans and Cason Wallace,None
Golden State,,None
Brooklyn Nets,,None
Miami Heat,,None
Brooklyn Nets,,None
Atlanta Hawks,John Collins,None
Indiana Pacers,,None
,"Alpha Kaba, Kenyon Martin, Josh Christopher, Vanja Marinkovic, Dillon Brooks, cash",None
Cleveland Cavaliers,cash,None
Memphis Grizzlies,,None
,Grant Williams,None
Atlanta Hawks,,None
Phoenix Suns,,None
,"Grayson Allen, Deandre Ayton and Toumani Camara, Damian Lillard",None
Boston Celtics,,None
Houston Rockets,,None
,,None
Los Angeles,Filip Petrusev and cash,None
New York,,None
Detroit Pistons,,None
Indiana Pacers,cash,None
Indiana Pacers,,None
Charlotte Hornets,Terry Rozier,None
Houston Rockets,,None
Boston Celtics,,None
Detroit Pistons,,None
Detroit Pistons,,None
Toronto Raptors,,None
Brooklyn Nets,Spencer Dinwiddie,None
Detroit Pistons,Bojan Bogdanovic and Alec Burks,None
Golden State,,None
Charlotte Hornets,,None
,"Buddy Hield, Doug McDermott",None
Dallas Mavericks,,None
,"Vanja Marinkovic, David Roddy",None
Milwaukee Bucks,,None
Detroit Pistons,Monte Morris,None
Boston Celtics,,None
Boston Celtics,Dalano Banton and cash,None
Milwaukee Bucks,Robin Lopez and cash,None
Denver Nuggets,Ismael Kamagate,None
Charlotte Hornets,Gordon Hayward,None
Dallas Mavericks,,None
Chicago Bulls,Alex Caruso,None
Denver Nuggets,,None
